Name,Supported by Thoughtspot,Supported by Mode,supported by TS migrator
JSON File (.json ),NoSup,NoSup,
Excel (.xls and .xlsx files),NoSup,NoSup,
textscan,Full,NoSup,
"Text file (*.txt, *.csv, *.tab, *.tsv)",Full,NoSup,
Other Files (Tableau Data Extract files and Tableau Workbooks.),NoSup,NoSup,
PDF File (.pdf file),NoSup,NoSup,
"Spatial File (Shapefiles, MapInfo tables, KML (Keyhole Markup Language) files, TopoJSON files, GeoJSON files, and Esri File Geodatabases.)",NoSup,NoSup,
"Statistical File (SAS (*.sas7bdat), SPSS (*.sav), and R (*.rdata, *.rda))",NoSup,NoSup,
Actian Vectorwise,NoSup,NoSup,
Alibaba AnalyticDB for MySQL,NoSup,NoSup,
Alibaba Data Lake Analytics,NoSup,NoSup,
Alibaba MaxCompute,NoSup,NoSup,
Amazon Athena,NoSup,Full,
Amazon Aurora for MySQL,Full,NoSup,
Amazon EMR Hadoop Hive,NoSup,NoSup,
Amazon Redshift,Full,Full,
Amazon S3,NoSup,NoSup,
Anaplan,NoSup,NoSup,
Apache Drill,NoSup,NoSup,
Azure Data Lake Storage Gen2,NoSup,NoSup,
Azure SQL Database,NoSup,Full,
Azure SQL Synapse Analytics,Full,Full,
Box,NoSup,NoSup,
Cloudera Hadoop,NoSup,NoSup,
Databricks,Full,Full,
Datorama by Salesforce,NoSup,NoSup,
Denodo,Full,Full,
Dremio by Dremio,Full,NoSup,
Dropbox,NoSup,NoSup,
Esri Connector,NoSup,NoSup,
Exasol,NoSup,NoSup,
Firebird 3,NoSup,NoSup,
Google Analytics,NoSup,NoSup,
Google Analytics 4,NoSup,NoSup,
Google BigQuery,NoSup,Full,
Google BigQuery JDBC,NoSup,NoSup,
Google Cloud SQL,NoSup,NoSup,
Google Drive,NoSup,NoSup,
Google Sheets,Full,NoSup,
Hortonworks Hadoop Hive,NoSup,Full,
IBM BigInsights,NoSup,NoSup,
IBM DB2,Full,NoSup,
IBM PDA (Netezza),NoSup,NoSup,
Impala,Full,Full,
Intuit QuickBooks Online,NoSup,NoSup,
Kognitio,NoSup,NoSup,
Kyvos,NoSup,NoSup,
LinkedIn Sales Navigator,NoSup,NoSup,
MariaDB,Full,Full,
Marketing Cloud Intelligence Connector,NoSup,NoSup,
Marketo,NoSup,NoSup,
MarkLogic,NoSup,NoSup,
Microsoft Analysis Services,NoSup,NoSup,
Microsoft SQL Server,NoSup,Full,
MonetDB,NoSup,NoSup,
MongoDB BI Connector,Full,NoSup,
MySQL,Full,Full,
OData,NoSup,NoSup,
OneDrive,NoSup,NoSup,
Oracle,Full,Full,
Oracle Essbase,NoSup,NoSup,
Oracle Netsuite,NoSup,NoSup,
Pivotal Greenplum,NoSup,NoSup,
PostgreSQL,Full,Full,
Presto,Full,Full,
Progress OpenEdge,NoSup,NoSup,
Qubole Presto,NoSup,NoSup,
Salesforce,NoSup,NoSup,
Salesforce Marketing Cloud,NoSup,NoSup,
SAP HANA,Full,NoSup,
SAP NetWeaver Business Warehouse,NoSup,NoSup,
SAP SuccessFactors,NoSup,NoSup,
SAP Sybase ASE,NoSup,NoSup,
SAP Sybase IQ,NoSup,NoSup,
ServiceNow ITSM,NoSup,NoSup,
ServiceNow,NoSup,NoSup,
SharePoint Lists,NoSup,NoSup,
SharePoint Lists (JDBC),NoSup,NoSup,
SingleStore,NoSup,NoSup,
Snowflake,Full,Full,
Spark SQL,NoSup,Full,
Splunk,NoSup,NoSup,
Splunk JDBC,NoSup,NoSup,
Teradata,Full,NoSup,
Teradata OLAP Connector,NoSup,NoSup,
Vertica,Full,Full,
Web Data Connector,NoSup,NoSup,
JDBC for many databases (must have driver),Full,NoSup,
